id,name,sprite,type1,type2,habitat,colors,evolution_stage,height,weight
17,pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,normal,flying,forest,brown,2,1.1,30.0
18,pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,normal,flying,forest,brown,3,1.5,39.5
19,rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,normal,None,grassland,purple,1,0.3,3.5
20,raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,normal,None,grassland,brown,2,0.7,18.5
21,spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,normal,flying,rough-terrain,brown,1,0.3,2.0
22,fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,normal,flying,rough-terrain,brown,2,1.2,38.0
23,ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,poison,None,grassland,purple,1,2.0,6.9
24,arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,poison,None,grassland,purple,2,3.5,65.0
25,pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,electric,None,forest,yellow,1,0.4,6.0
26,raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,electric,None,forest,yellow,2,0.8,30.0
27,sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,ground,None,rough-terrain,yellow,1,0.6,12.0
28,sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,ground,None,rough-terrain,yellow,2,1.0,29.5
29,nidoran-f,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,poison,None,grassland,blue,1,0.4,7.0
30,nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,poison,None,grassland,blue,2,0.8,20.0
31,nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,poison,ground,grassland,blue,3,1.3,60.0
32,nidoran-m,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,poison,None,grassland,purple,1,0.5,9.0
33,nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,poison,None,grassland,purple,2,0.9,19.5
34,nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,poison,ground,grassland,purple,3,1.4,62.0
35,clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,fairy,None,mountain,pink,1,0.6,7.5
36,clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,fairy,None,mountain,pink,2,1.3,40.0
37,vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,fire,None,grassland,brown,1,0.6,9.9
38,ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,fire,None,grassland,yellow,2,1.1,19.9
39,jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,normal,fairy,grassland,pink,1,0.5,5.5
40,wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,normal,fairy,grassland,pink,2,1.0,12.0
41,zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,poison,flying,cave,purple,1,0.8,7.5
42,golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,poison,flying,cave,purple,2,1.6,55.0
43,oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,grass,poison,grassland,blue,1,0.5,5.4
44,gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,grass,poison,grassland,blue,2,0.8,8.6
45,vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,grass,poison,grassland,red,3,1.2,18.6
46,paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,bug,grass,forest,red,1,0.3,5.4
47,parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,bug,grass,forest,red,2,1.0,29.5
48,venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,bug,poison,forest,purple,1,1.0,30.0
49,venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,bug,poison,forest,purple,2,1.5,12.5
50,diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,ground,None,cave,brown,1,0.2,0.8
51,dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,ground,None,cave,brown,2,0.7,33.3
52,meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,normal,None,urban,yellow,1,0.4,4.2
53,persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,normal,None,urban,yellow,2,1.0,32.0
54,psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,water,None,waters-edge,yellow,1,0.8,19.6
55,golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,water,None,waters-edge,blue,2,1.7,76.6
56,mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,fighting,None,mountain,brown,1,0.5,28.0
57,primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,fighting,None,mountain,brown,2,1.0,32.0
58,growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,fire,None,grassland,brown,1,0.7,19.0
59,arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,fire,None,grassland,brown,2,1.9,155.0
60,poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,water,None,waters-edge,blue,1,0.6,12.4
61,poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,water,None,waters-edge,blue,2,1.0,20.0
62,poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,water,fighting,waters-edge,blue,3,1.3,54.0
63,abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,psychic,None,urban,brown,1,0.9,19.5
64,kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,psychic,None,urban,brown,2,1.3,56.5
65,alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,psychic,None,urban,brown,3,1.5,48.0
66,machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,fighting,None,mountain,gray,1,0.8,19.5
67,machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,fighting,None,mountain,gray,2,1.5,70.5
68,machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,fighting,None,mountain,gray,3,1.6,130.0
69,bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,grass,poison,forest,green,1,0.7,4.0
70,weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,grass,poison,forest,green,2,1.0,6.4
71,victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,grass,poison,forest,green,3,1.7,15.5
72,tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,water,poison,sea,blue,1,0.9,45.5
73,tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,water,poison,sea,blue,2,1.6,55.0
74,geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,rock,ground,mountain,brown,1,0.4,20.0
75,graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,rock,ground,mountain,brown,2,1.0,105.0
76,golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,rock,ground,mountain,brown,3,1.4,300.0
77,ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,fire,None,grassland,yellow,1,1.0,30.0
78,rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,fire,None,grassland,yellow,2,1.7,95.0
79,slowpoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,water,psychic,waters-edge,pink,1,1.2,36.0
80,slowbro,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,water,psychic,waters-edge,pink,2,1.6,78.5
81,magnemite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,electric,steel,rough-terrain,gray,1,0.3,6.0
82,magneton,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,electric,steel,rough-terrain,gray,2,1.0,60.0
83,farfetchd,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,normal,flying,grassland,brown,1,0.8,15.0
84,doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,normal,flying,grassland,brown,1,1.4,39.2
85,dodrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,normal,flying,grassland,brown,2,1.8,85.2
86,seel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,water,None,sea,white,1,1.1,90.0
87,dewgong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,water,ice,sea,white,2,1.7,120.0
88,grimer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,poison,None,urban,purple,1,0.9,30.0
89,muk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,poison,None,urban,purple,2,1.2,30.0
90,shellder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,water,None,sea,purple,1,0.3,4.0
91,cloyster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,water,ice,sea,purple,2,1.5,132.5
92,gastly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,ghost,poison,cave,purple,1,1.3,0.1
93,haunter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,ghost,poison,cave,purple,2,1.6,0.1
94,gengar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,ghost,poison,cave,purple,3,1.5,40.5
95,onix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,rock,ground,cave,gray,1,8.8,210.0
96,drowzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,psychic,None,grassland,yellow,1,1.0,32.4
97,hypno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,psychic,None,grassland,yellow,2,1.6,75.6
98,krabby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,water,None,waters-edge,red,1,0.4,6.5
99,kingler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,water,None,waters-edge,red,2,1.3,60.0
100,voltorb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,electric,None,urban,red,1,0.5,10.4
101,electrode,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,electric,None,urban,red,2,1.2,66.6
102,exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,grass,psychic,forest,pink,1,0.4,2.5
103,exeggutor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,grass,psychic,forest,yellow,2,2.0,120.0
104,cubone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,ground,None,mountain,brown,1,0.4,6.5
105,marowak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,ground,None,mountain,brown,2,1.0,45.0
106,hitmonlee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,fighting,None,urban,brown,1,1.5,49.8
107,hitmonchan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,fighting,None,urban,brown,2,1.4,50.2
108,lickitung,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,normal,None,grassland,pink,1,1.2,65.5
109,koffing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,poison,None,urban,purple,1,0.6,1.0
110,weezing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,poison,None,urban,purple,2,1.2,9.5
111,rhyhorn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,ground,rock,rough-terrain,gray,1,1.0,115.0
112,rhydon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,ground,rock,rough-terrain,gray,2,1.9,120.0
113,chansey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,normal,None,urban,pink,1,1.1,34.6
114,tangela,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,grass,None,grassland,blue,1,1.0,35.0
115,kangaskhan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,normal,None,grassland,brown,1,2.2,80.0
116,horsea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,water,None,sea,blue,1,0.4,8.0
117,seadra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,water,None,sea,blue,2,1.2,25.0
118,goldeen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,water,None,waters-edge,red,1,0.6,15.0
119,seaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,water,None,waters-edge,red,2,1.3,39.0
120,staryu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,water,None,sea,brown,1,0.8,34.5
121,starmie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,water,psychic,sea,purple,2,1.1,80.0
122,mr-mime,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,psychic,fairy,urban,pink,1,1.3,54.5
123,scyther,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,bug,flying,grassland,green,1,1.5,56.0
124,jynx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,ice,psychic,urban,red,1,1.4,40.6
125,electabuzz,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,electric,None,grassland,yellow,1,1.1,30.0
126,magmar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,fire,None,mountain,red,1,1.3,44.5
127,pinsir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,bug,None,forest,brown,1,1.5,55.0
128,tauros,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,normal,None,grassland,brown,1,1.4,88.4
129,magikarp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,water,None,waters-edge,red,1,0.9,10.0
130,gyarados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,water,flying,waters-edge,blue,2,6.5,235.0
131,lapras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,water,ice,sea,blue,1,2.5,220.0
132,ditto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,normal,None,urban,purple,1,0.3,4.0
133,eevee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,normal,None,urban,brown,1,0.3,6.5
134,vaporeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,water,None,urban,blue,2,1.0,29.0
135,jolteon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,electric,None,urban,yellow,3,0.8,24.5
136,flareon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,fire,None,urban,red,3,0.9,25.0
137,porygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,normal,None,urban,pink,1,0.8,36.5
138,omanyte,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,rock,water,sea,blue,1,0.4,7.5
139,omastar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,rock,water,sea,blue,2,1.0,35.0
140,kabuto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,rock,water,sea,brown,1,0.5,11.5
141,kabutops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,rock,water,sea,brown,2,1.3,40.5
142,aerodactyl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,rock,flying,mountain,purple,1,1.8,59.0
143,snorlax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,normal,None,mountain,black,1,2.1,460.0
144,articuno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,ice,flying,rare,blue,1,1.7,55.4
145,zapdos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,electric,flying,rare,yellow,1,1.6,52.6
146,moltres,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,fire,flying,rare,yellow,1,2.0,60.0
147,dratini,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,dragon,None,waters-edge,blue,1,1.8,3.3
148,dragonair,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,dragon,None,waters-edge,blue,2,4.0,16.5
149,dragonite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,dragon,flying,waters-edge,brown,3,2.2,210.0
150,mewtwo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,psychic,None,rare,purple,1,2.0,122.0
151,mew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,psychic,None,rare,pink,1,0.4,4.0
